@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HD 104181','A','V','Normal',5.345,10.8636,-18.883,-6.935,-2.5,179.98714,3.655205,5.346,?,?,5.341,5.356,5.336,?,92.05
'HIP 80661','B','IV','Normal',8.39,1.19,-17.347,-31.371,?,247.033815,-51.27474,8.44,?,?,8.235,8.235,8.241,?,840.34
'HIP 3124','A','V','Normal',10.8,1.304,17.5,-0.634,13.9587,9.933375,-0.532395,10.9,?,?,10.32,10.21,10.171,?,766.87
'HIP 69537','G','IV','Normal',9.389,2.1605,-6.438,5.114,-17.1,213.522859,-3.750464,9.99,9.162,10.059,7.243,6.706,6.587,8.266,462.86
'HD 166204','F','V','Normal',9.11,5.3992,1.175,26.444,?,274.438041,-74.758597,9.51,?,?,8.318,8.19,8.161,?,185.21
'HR 2955','G','III','Normal',6.191,7.863,17.348,-35.548,26.05,114.635577,-38.781489,7.214,?,?,4.477,3.98,3.867,?,127.18
'HIP 7082','G','IV','High_Proper_Motion',7.24,14.1084,276.082,97.171,12.54,22.814075,-65.118431,8.14,?,?,5.671,5.19,5.056,?,70.88
'HIP 19553','F','V','High_Proper_Motion',8.14,13.3764,-57.717,7.995,-15.077,62.820186,46.920587,8.67,?,?,7.131,6.9,6.839,?,74.76
'HD 57845','B','V','Normal',9.99,1.7205,-5.015,4.304,?,110.54634,-20.282887,10.1,?,?,9.952,9.942,9.944,?,581.23
'HD 280416','G','V','Normal',11.04,4.2562,0.654,5.397,15.6,75.598451,33.970898,11.81,?,?,9.681,9.389,9.294,?,234.95
'HR 4925','K','III','Normal',?,9.6467,-19.73,46.48,25.3,195.149779,-3.368488,?,?,?,4.183,3.511,3.472,?,103.66
'HIP 36399','F','V','Normal',5.853,33.6335,43.969,146.958,3.279,112.356921,-7.551236,6.327,?,?,4.937,4.747,4.647,?,29.73
'HIP 57043','B','V','Normal',7.96,4.9333,-16.954,4.096,?,175.42651,-71.506353,8.07,?,?,7.54,7.539,7.521,?,202.7
'HIP 94074','F','V','Normal',9.3,3.6222,-2.482,-18.36,?,287.259867,-39.018927,9.73,?,?,8.47,8.34,8.302,?,276.08
'HIP 65474','B','V','Normal',0.97,13.06,-42.35,-30.67,-3.31,201.298247,-11.161319,0.74,?,?,1.5,1.54,1.64,?,76.57
'HD 221339','F','V','Normal',10.096,2.8413,-11.8,-19.696,23.74,352.847814,-18.969929,10.562,?,?,9.301,9.085,9.03,?,351.95
'HD 26946','K','III','Normal',7.81,2.2422,11.538,-1.848,5.39,64.173334,26.357974,9.41,?,?,5.067,4.259,3.989,?,445.99
'HIP 94352','A','V','Normal',8.53,2.7627,-5.182,21.656,-54.2,288.066623,48.13354,9.65,?,?,6.745,6.226,6.121,?,361.96
'HD 297816','G','V','Normal',10.04,3.3026,-0.653,-9.306,?,152.321904,-50.974156,10.52,?,?,9.193,8.983,8.898,?,302.79
'HD 165629','A','V','Normal',9.92,2.7154,0.62,-4.277,?,271.740005,-0.536051,10.16,?,?,9.303,9.182,9.149,?,368.27
'HD 218499','A','V','Normal',7.89,6.467,-18.506,-25.026,?,347.115505,13.729449,8.09,?,?,7.443,7.374,7.339,?,154.63
'HIP 22522','F','V','Normal',7.8,7.3007,19.943,-10.929,-7.12,72.700371,56.530254,8.31,?,?,6.858,6.654,6.603,?,136.97
'HD 155713','G','V','High_Proper_Motion',9.16,11.422,-82.743,26.797,-63.06,258.174152,16.229733,9.72,?,?,8.119,7.862,7.815,?,87.55
'HIP 109773','F','V','Normal',8.23,9.4629,44.637,10.847,-15.91,333.514665,-78.331122,8.68,?,?,7.369,7.142,7.087,?,105.68
